Razao;Codigo;Setor;Pais de Origem
KOPHILIPS;PHGN34;Tecnologia;Holanda
KROGER CO;K1RC34;Supermercados;EUA
KT CORP;K1TC34;Comunicação;Coreia
L BRANDS;LBRN34;Consumo;EUA
L3HARRIS TECHNOLOGIES INC;L1HX34;Tecnologia;EUA
LABORATORY CORP OF AMERICA HOLDINGS;L1CA34;Laboratórios clínicos;EUA
LAM RESEARCH CORP;L1RC34;Semicondutores;EUA
LAMB WESTON HOLDINGS INC;L1WH34;Alimentos;EUA
LAS VEGAS SANDS CORPORATION;L1VS34;Hotelaria;EUA
LEGGETT & PLATT INC;L1EG34;Industria diversificada;EUA
LEIDOS HOLDINGS INC;L1DO34;Tecnologia;EUA
LENNAR CORP;L1EN34;Construção;EUA
LIBERTY BROA;LBRD34;Comunicação ;EUA
LIBERTY GLOB;L1BT34;Telecomunicações;EUA
LIBERTY GLOBAL PLC;L1BT35;Comunicação;Reino Unido
LIBERTY MEDI;LSXM34;Comunicação ;EUA
LIBERTY MEDIA CORPORATION;LSXM35;Comunicação;EUA
LILLY;LILY34;Farmacêuticos;EUA
LINCOLN NATIONAL CORP;L1NC34;Holding;EUA
LINDE PLC;L1IN34;Químicos;EUA
LIVE NATION ENTERTAINMENT INC;L1YV34;Teatro;EUA
LKQ CORP;L1KQ34;Peças Automotivas;EUA
LLOYDS BANKING GROUP PLC;L1YG34;Financeiro;Reino Unido
LOEWS CORP;L1OE34;Holding;EUA
LOWE’S COMPA;LOWC34;Comércio – Construção ;EUA
LULULEMON ATHLETICA INC;L1UL34;Varejista de roupas ;EUA
LUMEN TECHNOLOGIES INC;L1MN34;Tecnologia;EUA
LYONDELLBASELL INDUSTRIES NV;L1YB34;Químicos;EUA
M&T BANK CORP;M1TB34;Instituição Financeira;EUA
MACY S;MACY34;"Tecidos, Vestuário e Calçados";EUA
MARATHON OIL;M1RO34;"Petróleo, Gás e Biocombustíveis";EUA
MARATHON PET;M1PC34;"Petróleo, Gás e Biocombustíveis";EUA
MARKEL CORP;MKLC34;Serviços Financeiros ;EUA
MARKETAXESS HOLDINGS INC;M1KT34;Financeiro;EUA
MARRIOTT INTERNATIONAL INC;M1TT34;Hotéis;EUA
MARSH & MCLENNAN COS INC;M1MC34;Serviços;EUA
MARTIN MARIETTA MATERIALS INC;M1LM34;Construção;EUA
MASCO CORP;M1AS34;Construção;EUA
MATCH GROUP INC;M1TC34;Comunicação;EUA
MAXIM INTEGRATED PRODUCTS INC;M1XI34;Semicondutores;EUA
MCCORMICK & CO INC;M1KC34;Alimentos;EUA
MCDONALDS;MCDC34;Restaurantes & Bares;EUA
MCKESSON CORP;M1CK34;Saúde;EUA
MEDTRONIC;MDTC34;Medicamentos e Outros Produtos;EUA
MELCO RESORTS & ENTERTAINMENT LTD;M1LC34;Hotelaria;Hong Kong
MERCADO LIVRE;MELI34;Comunicação;Argentina
MERCK;MRCK34;Farmacêuticos;EUA
METTLER-TOLEDO INTERNATIONAL INC;M1TD34;Instrumentos para laboratórios;EUA
MGM RESORTS ;M1GM34;Hóteis;EUA
MICROCHIP TE;M1CH34;Tecnologia;EUA
MICRON TECHN;MUTC34;Tecnologia;EUA
MICROSOFT;MSFT34;Semicondutor amplo;EUA
MID-AMERICA APARTMENT COMMUNITIES INC;M1AA34;Fundo de investimento imobiliário;EUA
MITSUBISHI UFJ FINANCIAL GROUP INC;M1UF34;Financeiro;Japan
MOBILE TELESYSTEMS PJSC;M1BT34;Comunicação;Russian Federation
MODERNA INC;M1RN34;Farmacêutico;EUA
MOHAWK INDUSTRIES INC;M1HK34;Tecnologia;EUA
MOLSON COORS BREWING CO;M1CB34;Bebidas;EUA
MONDELEZ INT ;MDLZ34;Consumo;EUA
MONGODB INC;M1DB34;Tecnologia;EUA
MONSTER BEVERAGE CORP;M1NS34;Bebidas;EUA
MOODY’S CORP;MCOR34;Serviços Financeiros ;EUA
MOSAIC CO;MOSC34;Materiais Básicos ;EUA
MOTOROLA SOLUTIONS INC;M1SI34;Construção;EUA
MSCI INC;M1SC34;Serviços Financeiros ;EUA
NASDAQ INC;N1DA34;Serviços Financeiros ;EUA
NATIONAL GRID PLC;N1GG34;Utilidades;Reino Unido
NATIONAL OILWELL VARCO INC;N1OV34;"Petróleo, Gás e Biocombustíveis";EUA
NATWEST GROUP PLC;N1WG34;Financeiro;Reino Unido
NETAPP INC;N1TA34;Tecnologia;EUA
NETEASE;NETE34;Tecnologia;China
NETFLIX;NFLX34;Lojas de Música e Vídeo;EUA
NEUROCRINE BIOSCIENCES INC;N1BI34;Farmacêutico;EUA
NEW ORIENTAL EDU & TECH GROUP INC;E1DU34;Escolas;China
NEWELL BRAND;N1WL34;Bens de consumo;EUA
NEWMONT GOLD;N1EM34;Mineração;EUA
NEWS CORP;N1WS34;Comunicação;EUA
NEWS CORPORATION;N1WS35;Publicidade;EUA
NEXTERA ENER;NEXT34;Energia ;EUA
NICE LTD;N1IC34;Comunicação;Israel
NIELSEN HOLDINGS PLC;N1LS34;Serviços de informação;EUA
NISOURCE INC;N1IS34;Energia;EUA
NOKIA CORP;NOKI34;Tecnologia;Finlândia
NOMURA HO;NMRH34;Instituição Financeira;Japão
NORDSTROM IN;J1WN34;Roupas e Calçados;EUA
NORFOLK SOUTHERN CORP;N1SC34;Ferroviário;EUA
NORTHERN TRUST CORP;N1TR34;Serviços Financeiros ;EUA
NORTHROP GRU;NOCG34;Industrial;EUA
NORWEGIAN CR;N1CL34;Serviços – Viagens;EUA
NOVARTIS AG;N1VS34;Farmacêutico;Suíça
NOVO NORDISK A/S;N1VO34;Farmacêutico;Dinamarca
NRG ENERGY I;N1RG34;Energia;EUA
NUBANK;NUBR33;Financeiro;Brasil
NUCOR CORP;N1UE34;Aço e Metalurgia;EUA
NVIDIA CORP;NVDC34;Tecnologia;EUA
NVR INC;N1VR34;Construção;EUA
NXP SEMICOND;N1XP34;Semicondutores;EUA
OCCIDENT PTR;OXYP34;Energia ;EUA
OKTA INC;O1KT34;Comunicação;EUA
OLD DOMINION FREIGHT LINE INC;O1DF34;Transportadora;EUA
OMNICOM GROUP INC;O1MC34;Comunicação;EUA
ONEOK INC;O1KE34;"Petróleo, Gás e Biocombustíveis";EUA
O’REILLY AUT;ORLY34;Comércio – Auto peças;EUA
ORIX CORP;I1XC34;Financeiro;Japan
OTIS WORLDWIDE CORPORATION;O1TI34;Maquinario Industrial;EUA
PACCAR INC;P1AC34;Peças Automotivas;EUA
PACKAGING CORP OF AMERICA;P1KG34;Embalagens;EUA
PAGSEGURO;PAGS34;Meios de pagamentos;Brasil
PALANTIR TECHNOLOGIES;P2LT34;Tecnologia;EUA
PARKER-HANNIFIN CORP;P1HC34; Engenharia mecânica;EUA
PAYCHEX INC;P1AY34;Serviços;EUA
PAYCOM SOFTWARE INC;P1YC34;Tecnologia;EUA
PAYPAL HOLD;PYPL34;Serviços Financeiros ;EUA
PENTAIR PLC;P1NR34;Tratamento de água;EUA
PEOPLES UNITED FINANCIAL INC;P1BC34;Serviços Financeiros ;EUA
PERKINELMER INC;P1KI34;Biotecnologia;EUA
PERRIGO CO PLC;P1RG34;Farmacêuticos;EUA
PETROCHIN;PTCH34;"Petróleo, Gás e Biocombustíveis";China
PINTEREST;P2IN34;Internet;EUA
PFIZER;PFIZ34;Farmacêuticos;EUA
PG;PGCO34;Produtos doméstiscos não-duráveis;EUA
PHILIP MORRIS;PHMO34;Comércio – Tabaco ;EUA
PHILLIPS 66;P1SX34;Energia;EUA
PINDUODUO INC;P1DD34;Comunicação;China
PINNACLE WEST CAPITAL CORP;P1NW34;Holding;EUA
PIONEER NATURAL RESOURCES CO;P1IO34;Exploração de hidrocarbonetos;EUA
PLANET FITNESS;P2LN34;Saúde;EUA
PNCFNANCIAL ;PNCS34;Serviços Financeiros ;EUA
POSCO;P1KX34;Mineração;"Korea, Republic of"
PPG INDUSTRIES INC;P1PG34;Químicos;EUA
PPL CORP;P1PL34;Energia;EUA
PRINCIPAL FINANCIAL GROUP INC;P1FG34;Gestão de Recursos e Investimentos;EUA
PROCORE TECHNOLOGIES;P2CO34;Sotfware;EUA
PROLOGIS INC;P1LD34;Fundo de investimento imobiliário;EUA
PRUDENTIAL FINANCIAL INC;P1DT34;Seguros;EUA
PRUDENTIAL PLC;P1UK34;Financeiro;Reino Unido
PT TELEKOMUNIKASI INDONESIA PERSERO TBK;T1LK34;Comunicação;Indonesia
PUBLIC SERVICE ENTERPRISE GROUP INC;P1EG34;Energia;EUA
PUBLIC STORAGE;P1SA34;Fundo de investimento imobiliário;EUA
PULTEGROUP I;P1HM34;Construção;EUA
PVH CORP;P1VH34;Roupas;EUA
QORVO INC;Q1RV34;Semicondutores;EUA
QUALCOMM;QCOM34;Equipamentos de Comunicação;EUA
QUANTA SERVICES INC;Q1UA34;Serviços;EUA
QUEST DIAGNOSTICS INC;Q1UE34;Laboratórios clínicos;EUA
RALPH LAUREN CORP;R1LC34;Roupas e acessórios;EUA
RAYMOND JAMES FINANCIAL INC;R1JF34;Serviços Financeiros ;EUA
RD SHELL;RDSA34;"Petróleo, Gás e Biocombustíveis";Holanda
REALTY INCOME CORP;R1IN34;Fundo de investimento imobiliário;EUA
REGENCY CENTERS CORP;R1EG34;Fundo de investimento imobiliário;EUA
REDFIN CORPORATION;R2DF34;Imobiliário;EUA
REGENERON PH;REGN34;Comércio – Produtos e serviços farmacêuticos ;EUA
REGIONS FINA;R1FC34;Instituição Financeira;EUA
RELX PLC;R1EL34;Serviços comerciais;Reino Unido
REPUBLIC SERVICES INC;R1SG34;Serviços;EUA
RESMED INC;R1MD34;Saúde;EUA
RIO TINTO;RIOT34;Mineração;Reino Unido
RH;R2HH34;Varejo;EUA
ROBERT HALF INTERNATIONAL INC;R1HI34;Consultoria;EUA
ROBLOX CORPORATION;R2BL34;Games;EUA
ROCKWELL AUTOMATION INC;R1OK34;Automação industrial;EUA
ROKU INC;R1KU34;Comunicação;EUA
ROLLINS INC;R1OL34;Serviços;EUA
ROPER TECHNOLOGIES INC;R1OP34;Industria diversificada;EUA
ROSS STORES;ROST34;"Tecidos, Vestuário e Calçados";EUA
ROYAL CARIBBEAN CRUISES LTD;R1CL34;Cruzeiros;EUA
ROYAL DUTCH SHELL PLC;RDSA35;Energia;Holanda
RYANAIR HOLDINGS PLC;R1YA34;Aviação;Ireland
S&P GLOBAL ;SPGI34;Serviços Financeiros ;EUA
SALESFORCE;SSFO34;Programas e Serviços;EUA
SANTANDER;BCSA34;Instituição Financeira;Espanha
SAP SE;SAPP34;Softwares;Alemanha
SAREPTA THERAPEUTICS INC;S1RP34;Farmacêutico;EUA
SBA COMMUNICATIONS CORP;S1BA34;Tecnologia;EUA
SCHWAB;SCHW34;Serviços Financeiros ;EUA
SEAGATE TECH;S1TX34;Tecnologia;EUA
SEALED AIR CORP;S1EA34;Embalagens;EUA
SEATTLE GENETICS INC;S1GE34;Farmacêutico;EUA
SEMPRA ENERGY;S1RE34;Energia;EUA
SERVICENOW INC;N1OW34;Tecnologia;EUA
SIBANYE STILLWATER LTD;S1BS34;Mineração;South Africa
SIGNATURE BK;SBNY34;Serviços Financeiros ;EUA
SIMON PROP;SIMN34;Serviços Financeiros ;EUA
SIRIUS XM HD;SRXM34;Comunicação ;EUA
SK TELECOM CO LTD;S1KM34;Comunicação;Coreia
SKYWORKS SOLUTIONS INC;S1SL34;Semicondutores;EUA
SL GREEN REALTY CORP;S1LG34;Fundo de investimento imobiliário;EUA
SMITH & NEPHEW PLC;S1NN34;Farmacêutico;Reino Unido
SNAP-ON INC;S1NA34;Ferramentas;EUA
SQUARESPACE;S2QS34;Internet;EUA
SONY CORP;SNEC34;Eletroeletrônico;Japão
SOUTHWEST AIRLINES CO;S1OU34;Companhia Aérea;EUA
SPLUNK INC;S1PL34;Tecnologia;EUA
SPOTIFY TECHNOLOGY SA;S1PO34;Tecnologia;EUA
SS&C TECHNOLOGIES HOLDINGS INC;S1SN34;Tecnologia;EUA
STANLEY BLACK & DECKER INC;S1WK34;Ferramentas;EUA
STATE STREET;S1TT34;Instituição Financeira;EUA
STERIS PLC;S1TE34;Farmacêutico;EUA
STERLING BNC;SLBC34;Serviços Financeiros ;EUA
STMICROEL;STMN34;Eletroeletrônico;Suiça
STORE CAPITAL;S2TO34;Mercado financeiro;EUA
STRYKER CORP;S1YK34;Sáude;EUA
SUMITOMO MITSUI FINANCIAL GROUP INC;S1MF34;Financeiro;Japan
SVB FINANCIAL GROUP;S1IV34;Instituição Financeira;EUA
SYMANTEC COR;S1YM34;Tencologia;EUA
SYNCHRONY FI;S1YF34;Instituição Financeira;EUA
SYNOPSYS INC;S1NP34;Tecnologia;EUA
SYSCO CORP;S1YY34;Alimentos;EUA
T ROWE PRICE GROUP INC;T1RO34;Gestão de Recursos e Investimentos;EUA
TAIWANSMFAC;TSMC34;Semicondutores;Taiwan
TAKEDAPH;TAKP34;Farmacêuticos;Japão
TAKE-TWO INTERACTIVE SOFTWARE INC;T1TW34;Videogames;EUA
TAL EDUCATION GROUP;T1AL34;Escolas;China
TAPESTRY INC;TPRY34;"Comércio – Vestuário, calçados";EUA
TE CONNECTIVITY LTD;T1EL34;Tecnologia;EUA
TECHNIPFMC PLC;T1EC34;"Petróleo, Gás e Biocombustíveis";EUA
TELEFLEX INC;T1FX34;Saúde;EUA
TELEFONIC;TLNC34;Telecomunicações;Espanha
TEMPUR SEALY;T2PX34;Industrial;EUA
TENARIS SA;T1SS34;Industrial;Luxembourgo
TERNIUMSA;TXSA34;Siderurgia e Metalurgia;Luxemburgo
TESLA MOTORS;TSLA34;Automóveis e Motocicletas;EUA
TEVA PHARMACEUTICAL INDUSTRIES LTD;T1EV34;Farmacêutico;Israel
TEXTRON INC;T1XT34;Industria diversificada;EUA
THE JM SMUCKER CO;S1JM34;Alimentos e bebidas;EUA
THE PROGRESSIVE CORP;P1GR34;Seguros;EUA
THE SHERWIN-WILLIAMS CO;S1HW34;Tintas;EUA
THE SOUTHERN;T1SO34;Energia;EUA
THERMFISCHER;TMOS34;"Serviços Médico – Hospitalares, Análises e Diagnósticos";EUA
TJX COMPANIE;TJXC34;Comércio – Lojas de departamento ;EUA
T-MOBILE US ;T1MU34;Telecomunicações;EUA
TOYOTAMO;TMCO34;Automóveis;Japão
TRACTOR SUPPLY CO;T1SC34;Varejo;EUA
TRANSDIGM GROUP INC;T1DG34;Componentes aeroespaciais;EUA
TRANSOCEAN;RIGG34;"Petróleo, Gás e Biocombustíveis";EUA
TRAVELERS;TRVC34;Seguradoras;EUA
TRIPADVISOR INC;T1RI34;Turismo;EUA
TWILIO INC;T1WL34;Tecnologia;EUA
TWITTER;TWTR34;Tecnologia;EUA
TYSON FOODS;TSNF34;Comércio – Alimentos ;EUA
UBER TECH IN;U1BE34;Transporte;EUA
UBS GROUP;UBSG34;Intermediários Financeiros;EUA
UDR INC;U1DR34;Fundo de investimento imobiliário;EUA
UIPATH;P2AT34;Software;EUA
ULTA BEAUTY INC;U1LT34;Varejo de cosméticos ;EUA
UNDER ARMOUR INC;U1AI34;Roupas e acessórios;EUA
UNILEVER;ULEV34;Cuidados Pessoais;Reino Unido
UNILEVER NV;U1NL34;Cosméticos;Reino Unido
UNIONPACIFIC;UPAC34;Industrial;EUA
UNITED AIRLI;U1AL34;Companhia Aérea;EUA
UNITED RENTALS INC;U1RI34;Aluguel de equipamentos;EUA
UNITEDHEALTH;UNHH34;Comércio – Produtos e serviços farmacêuticos ;EUA
UNIVERSAL HEALTH SERVICES INC;U1HS34;Saúde;EUA
UNUM GROUP;U1NM34;Seguros;EUA
UPS;UPSS34;Serviços de Entregas;EUA
UPWORK;U2PW34;Serviços freelancer;EUA
US STEEL;USSX34;Siderurgia e Metalurgia;EUA
VALERO ENER;VLOE34;"Petróleo, Gás e Biocombustíveis";EUA
VALLEY NTION;VLYB34;Serviços Financeiros ;EUA
VARIAN MEDICAL SYSTEMS INC;V1AR34;Tecnologia;EUA
VEEVA SYSTEMS;V2EE34;Internet;EUA
VENTAS INC;V1TA34;Fundo de investimento imobiliário;EUA
VERISIGN INC;VRSN34;Comunicação ;EUA
VERISK ANALYTICS INC;V1RS34;Consultoria;EUA
VERIZON;VERZ34;Telecomunicações;EUA
VERTEX PHARM;VRTX34;Comércio – Produtos farmacêuticos ;EUA
VF CORP;VFCO34;Comércio – Vestuário ;EUA
VIMEO;V2ME34;Internet;EUA
VIPSHOP HOLDINGS LTD;V1IP34;E-Commerce;China
VODAFONE GROUP PUBLIC LTD COMPANY;V1OD34;Comunicação;Reino Unido
VORNADO REALTY TRUST;V1NO34;Fundo de investimento imobiliário;EUA
VULCAN MATERIALS CO;V1MC34;Construção;EUA
WABTEC CORP;W1AB34;Indústria ferroviária;EUA
WAL MART;WALM34;Varejo amplo;EUA
WALGREENS;WGBA34;"Comercio – Farmacéutico, diversos";EUA
WARNER MUSIC GROUP CORPORATION;W1MG34;Gravadora;EUA
WASTE MANAG;W1MC34;Gerenciamento de Resíduos;EUA
WATERS CORP;WATC34;Industrial;EUA
WATSCO INC;W1SO34;Refrigeração;EUA
WAYFAIR;W2YF34;Varejo;EUA
WEC ENERGY GROUP INC;W1EC34;Energia;EUA
WEIBO CORP;W1BO34;Comunicação;China
WELLS FARGO;WFCO34;Bancos;EUA
WELLTOWER INC;W1EL34;Fundo de investimento imobiliário;EUA
WEST PHARMACEUTICAL SERVICES;W2ST34;Saúde;EUA
WESTERN BCOR;WABC34;Serviços Financeiros ;EUA
WESTERN DIG;W1DC34;Tecnologia;EUA
WESTERNUNION;WUNI34;Serviços Financeiros ;EUA
WESTPAC BANKING CORP;W1BK34;Financeiro;Australia
WESTROCK CO;W1RK34;Embalagens;EUA
WEYERHAEUSER CO;W1YC34;Madeira;EUA
WHIRLPOOL CORP;W1HR34;Eletrodomésticos;EUA
WILLIAMS COS;W1MB34;Energia;EUA
WILLIS TOWERS WATSON PLC;W1LT34;Consultoria;EUA
WIX.COM LTD;W1IX34;Comunicação;Israel
WORKDAY INC;W1DA34;Tecnologia;EUA
WPP PLC;W1PP34;Comunicação;Reino Unido
WR BERKLEY CORPORATION;W1RB34;Financeiro;EUA
WW GRAINGER INC;G1WW34;Distribuidora;EUA
WYNN RESORTS;W1YN34;Hóteis;EUA
XCEL ENERGY;X1EL34;Energia;EUA
XILINX INC;X1LN34;Tecnologia;EUA
XYLEM INC;X1YL34;Soluções para água;EUA
YUM BRANDS;YUMR34;"Comércio – Alimentação, restaurantes";EUA
ZEBRA TECHNOLOGIES CORPORATION;Z1BR34;Tecnologia;EUA
ZENDESK;Z2EN34;Tecnologia;Dinamarca
ZILLOW GROUP;Z2LL34;Imobiliário;EUA
ZIMMER BIOMET HOLDINGS INC;Z1BH34;Saúde;EUA
ZIONSBANCORP;Z1IO34;Instituição Financeira;EUA
ZOETIS INC;Z1TS34;Medicamentos;EUA
ZOOM VIDEO COMMUNICATIONS INC;Z1OM34;Tecnologia;EUA
ZTO EXPRESS CAYMAN INC;Z1TO34;Delivery;China
ACCENTURE;ACNB34;Tecnologia;EUA
AIG GROUP;AIGB34;Seguros;EUA
AMERICAN EXP;AXPB34;Crédito ao Consumidor;EUA
ATT INC;ATTB34;Telecomunicações;EUA
BERKSHIRE;BERK34;Serviços de investimentos;EUA
BNY MELLON;BONY34;Serviços Financeiros ;EUA
BOEING;BOEI34;Aeroespacial;EUA
BRISTOLMYERS;BMYB34;Produtos Farmacêuticos;EUA
DUKE ENERGY;DUKB34;Energia Elétrica;EUA
DUPONT N INC;DDNB34;Commodities Químicas;EUA
FEDEX CORP;FDXB34;Serviços de Entregas;EUA
FEMSA;FMXB34;Bebidas;México
GEN DYNAMICS;GDBR34;Indústria Aeroespacial e de Defesa;EUA
HONEYWELL;HONB34;Prod. Industrializados Diversos;EUA
HP COMPANY;HPQB34;Hardware para computadores;EUA
IBM;IBMB34;Serviços de Computação;EUA
JOHNSON & JOHNSON;JNJB34;Produtos Farmacêuticos;EUA
KIMBERLY CL;KMBB34;Consumo;EUA
KRAFT HEINZ;KHCB34;Produtos Alimentícios;EUA
LOCKHEED;LMTB34;Defesa;EUA
METLIFE INC;METB34;Seguros;EUA
MORGAN STAN;MSBR34;Serviços de investimentos;EUA
PEPSICO INC;PEPB34;Refrigerantes;EUA
STARBUCKS;SBUB34;Produtos Alimentícios ;EUA
TARGET CORP;TGTB34;Consumo;EUA
TEXAS INC;TEXA34;Tecnologia;EUA
VISA INC;VISA34;Financiamento ao Consumidor;EUA
WALT DISNEY;DISB34;Radiodifusão e Entretenimento;EUA
XEROX CORP;XRXB34;Equipamentos Eletrônicos para Escritórios;EUA
AMAZON;AMZO34;Catálogos e entregas domiciliares;EUA
CATERPILLAR;CATP34;Caminhões e Veículos Comerciais;EUA
CHEVRON;CHVX34;Combustível & Gás Integrados;EUA
COCA COLA;COCA34;Refrigerantes;EUA
COLGATE;COLG34;Produtos Pessoais;EUA
MASTERCARD;MSCD34;Financiamento ao Consumidor;EUA
NIKE;NIKE34;Calçados;EUA
ORACLE;ORCL34;Software aplicativo;EUA
RAYTHEON TECH;RYTT34;Industrial;EUA
SCHLUMBERGER;SLBG34;Equipamentos e Serviços de Combustível;EUA
TIFFANY;TIFF34;Joalheria;EUA
US BANCORP ;USBC34;Instituição Financeira;EUA
XP INC;XPBR31;Financeiro;Brasil
