Codigo;Razao;Tipo;Qtde. Terica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;200.372.163;"0,391"
ALPA4;ALPARGATAS;PN      N1;201.257.220;"0,215"
ABEV3;AMBEV S/A;ON;85.228.545;"3,127"
AMER3;AMERICANAS;ON      NM;596.875.824;"0,435"
ASAI3;ASSAI;ON      NM;794.531.367;"0,691"
AZUL4;AZUL;PN      N2;327.741.172;"0,247"
B3SA3;B3;ON      NM;1.692.658.025;"3,784"
BPAN4;BANCO PAN;PN      N1;341.124.068;"0,116"
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;"0,927"
BRML3;BR MALLS PAR;ON      NM;828.273.884;"0,346"
BBDC3;BRADESCO;ON  EJ  N1;1.516.726.535;"1,291"
BBDC4;BRADESCO;PN  EJ  N1;865.602.994;"5,308"
BRAP4;BRADESPAR;PN      N1;251.402.249;"0,352"
BBAS3;BRASIL;ON  EJ  NM;1.420.530.937;"2,673"
BRKM5;BRASKEM;PNA     N1;264.975.728;"0,529"
BRFS3;BRF SA;ON      NM;1.076.512.610;"0,732"
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;"1,524"
CRFB3;CARREFOUR BR;ON  EJ  NM;410.988.561;"0,365"
CCRO3;CCR SA;ON      NM;1.115.693.556;"0,753"
CMIG4;CEMIG;PN      N1;1.448.479.060;"0,853"
CIEL3;CIELO;ON      NM;1.144.359.228;"0,238"
COGN3;COGNA ON;ON      NM;1.828.106.676;"0,231"
CPLE6;COPEL;PNB     N2;1.563.365.506;"0,6"
CSAN3;COSAN;ON      NM;1.171.063.698;"1,179"
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;"0,345"
CMIN3;CSNMINERACAO;ON      N2;1.120.593.365;"0,266"
CVCB3;CVC BRASIL;ON      NM;224.231.429;"0,116"
CYRE3;CYRELA REALT;ON      NM;281.609.283;"0,186"
DXCO3;DEXCO;ON      NM;295.712.871;"0,158"
ECOR3;ECORODOVIAS;ON      NM;339.237.914;"0,116"
ELET3;ELETROBRAS;ON      N1;358.028.908;"0,855"
ELET6;ELETROBRAS;PNB     N1;242.987.127;"0,573"
EMBR3;EMBRAER;ON      NM;734.588.205;"0,455"
ENBR3;ENERGIAS BR;ON      NM;230.931.405;"0,263"
ENGI11;ENERGISA;UNT     N2;248.477.689;"0,599"
ENEV3;ENEVA;ON      NM;1.257.479.978;"1,01"
EGIE3;ENGIE BRASIL;ON      NM;255.217.329;"0,586"
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;"1,452"
EZTC3;EZTEC;ON      NM;101.618.236;"0,085"
FLRY3;FLEURY;ON      NM;303.373.882;"0,234"
GGBR4;GERDAU;PN      N1;1.097.534.498;"1,405"
GOAU4;GERDAU MET;PN      N1;698.275.321;"0,376"
GOLL4;GOL;PN      N2;167.095.214;"0,092"
NTCO3;GRUPO NATURA;ON      NM;834.914.221;"0,61"
SOMA3;GRUPO SOMA;ON      NM;489.316.435;"0,262"
HAPV3;HAPVIDA;ON      NM;159.725.086;"1,426"
HYPE3;HYPERA;ON      NM;410.253.528;"0,844"
IGTI11;IGUATEMI S.A;UNT     N1;180.013.980;"0,177"
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;"0,186"
ITSA4;ITAUSA;PN      N1;441.173.358;"2,306"
ITUB4;ITAUUNIBANCO;PN      N1;486.109.847;"6,4"
JBSS3;JBS;ON      NM;1.290.736.673;"2,308"
JHSF3;JHSF PART;ON      NM;305.915.142;"0,105"
KLBN11;KLABIN S/A;UNT     N2;812.994.397;"0,898"
RENT3;LOCALIZA;ON      NM;594.670.317;"1,624"
LCAM3;LOCAMERICA;ON      NM;321.385.288;"0,393"
LWSA3;LOCAWEB;ON      NM;418.965.264;"0,121"
LREN3;LOJAS RENNER;ON      NM;977.821.540;"1,277"
MGLU3;MAGAZ LUIZA;ON  ATZ NM;-1.398.732.658;"0,409"
MRFG3;MARFRIG;ON      NM;348.234.011;"0,244"
CASH3;MELIUZ;ON      NM;548.153.725;"0,035"
BEEF3;MINERVA;ON      NM;260.409.710;"0,182"
MRVE3;MRV;ON      NM;294.647.234;"0,128"
MULT3;MULTIPLAN;ON      N2;272.718.548;"0,338"
PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;"0,144"
PETR3;PETROBRAS;ON      N2;-1.588.632.914;"4,47"
PETR4;PETROBRAS;PN      N2;271.474.952;"6,9"
PRIO3;PETRORIO;ON      NM;839.159.130;"1,048"
PETZ3;PETZ;ON      NM;336.154.589;"0,193"
POSI3;POSITIVO TEC;ON      NM;78.053.723;"0,027"
QUAL3;QUALICORP;ON      NM;277.027.077;"0,209"
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;"1,083"
RDOR3;REDE D OR;ON      NM;772.010.260;"1,252"
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;"1,114"
SBSP3;SABESP;ON      NM;340.001.934;"0,766"
SANB11;SANTANDER BR;UNT;362.703.399;"0,608"
CSNA3;SID NACIONAL;ON;642.398.790;"0,592"
SLCE3;SLC AGRICOLA;ON      NM;96.270.946;"0,271"
SULA11;SUL AMERICA;UNT     N2;283.167.854;"0,346"
SUZB3;SUZANO S.A.;ON      NM;726.779.281;"1,949"
TAEE11;TAESA;UNT     N2;218.568.234;"0,481"
VIVT3;TELEF BRASIL;ON;413.890.875;"1,033"
TIMS3;TIM;ON      NM;808.619.532;"0,55"
TOTS3;TOTVS;ON      NM;519.851.955;"0,66"
UGPA3;ULTRAPAR;ON      NM;1.086.067.887;"0,714"
USIM5;USIMINAS;PNA     N1;514.680.651;"0,254"
VALE3;VALE;ON      NM;-526.218.807;"15,566"
VIIA3;VIA;ON      NM;1.596.295.753;"0,197"
VBBR3;VIBRA;ON      NM;1.131.883.365;"1,039"
WEGE3;WEG;ON      NM;1.484.859.030;"1,958"
YDUQ3;YDUQS PART;ON      NM;300.833.122;"0,224"
